f,r,x
0.100000,481.93,35.18
0.124950,482.24,43.55
0.149900,481.99,52.03
0.174850,482.13,60.33
0.199800,482.11,68.64
0.224750,482.26,77.23
0.249700,482.39,85.77
0.274650,482.63,94.20
0.299600,482.90,102.66
0.324550,482.78,111.23
0.349500,482.79,119.61
0.374450,482.91,127.82
0.399400,482.95,136.34
0.424350,483.14,144.69
0.449300,483.04,153.17
0.474250,483.19,161.48
0.499200,483.13,169.96
0.524150,483.47,178.54
0.549100,483.98,186.73
0.574050,483.91,195.47
0.599000,484.01,203.72
0.623950,484.13,212.29
0.648900,484.40,220.66
0.673850,484.43,229.03
0.698800,484.63,237.67
0.723750,485.00,246.00
0.748700,485.16,254.51
0.773650,485.23,262.99
0.798600,485.07,271.49
0.823550,485.48,280.03
0.848500,485.84,288.21
0.873450,485.95,296.81
0.898400,486.21,305.56
0.923350,486.54,313.96
0.948300,486.57,322.37
0.973250,487.07,330.86
0.998200,487.47,339.38
1.023150,487.48,348.11
1.048100,487.82,356.57
1.073050,488.22,365.16
1.098000,488.48,373.77
1.122950,488.49,382.41
1.147900,488.93,390.76
1.172850,489.21,399.48
1.197800,489.51,408.14
1.222750,489.91,416.67
1.247700,490.10,424.96
1.272650,490.64,433.88
1.297600,491.00,442.38
1.322550,491.27,451.26
1.347500,491.76,459.58
1.372450,492.10,468.73
1.397400,492.43,477.21
1.422350,492.99,485.92
1.447300,493.39,494.59
1.472250,493.67,503.02
1.497200,494.51,511.66
1.522150,494.63,520.77
1.547100,495.14,529.79
1.572050,495.61,538.20
1.597000,496.10,546.90
1.621950,496.35,555.60
1.646900,496.79,564.18
1.671850,497.45,573.16
1.696800,497.70,581.79
1.721750,498.64,590.81
1.746700,498.71,599.34
1.771650,499.50,608.39
1.796600,500.11,617.27
1.821550,500.67,626.17
1.846500,501.08,634.89
1.871450,501.71,643.91
1.896400,502.43,652.68
1.921350,502.80,661.92
1.946300,503.24,670.52
1.971250,504.19,679.61
1.996200,504.62,688.64
2.021150,505.29,697.32
2.046100,505.80,706.56
2.071050,506.73,715.54
2.096000,507.36,724.51
2.120950,508.03,733.45
2.145900,508.24,742.69
2.170850,509.27,751.90
2.195800,509.86,760.94
2.220750,510.62,769.64
2.245700,511.32,779.37
2.270650,511.89,788.59
2.295600,512.55,797.84
2.320550,513.56,806.82
2.345500,514.00,816.20
2.370450,515.08,825.17
2.395400,515.34,834.69
2.420350,516.31,844.05
2.445300,517.48,853.51
2.470250,518.00,862.43
2.495200,518.70,871.84
2.520150,519.40,881.52
2.545100,520.50,890.91
2.570050,520.92,900.23
2.595000,521.93,909.66
2.619950,522.92,919.45
2.644900,523.87,928.70
2.669850,524.66,938.12
2.694800,525.36,948.26
2.719750,526.44,957.38
2.744700,527.21,967.35
2.769650,528.16,976.86
2.794600,528.99,986.38
2.819550,529.76,995.71
2.844500,531.26,1005.63
2.869450,531.68,1015.72
2.894400,532.72,1025.08
2.919350,533.65,1034.87
2.944300,534.89,1044.89
2.969250,535.95,1055.21
2.994200,536.42,1064.78
3.019150,538.05,1074.94
3.044100,538.82,1084.75
3.069050,540.10,1094.47
3.094000,540.71,1104.33
3.118950,542.44,1114.74
3.143900,542.97,1124.70
3.168850,544.14,1134.17
3.193800,545.49,1144.63
3.218750,546.12,1155.18
3.243700,547.57,1164.47
3.268650,548.67,1175.64
3.293600,549.61,1185.36
3.318550,550.95,1196.39
3.343500,552.01,1205.88
3.368450,553.67,1216.75
3.393400,554.34,1226.82
3.418350,555.15,1236.87
3.443300,556.79,1247.56
3.468250,558.17,1257.70
3.493200,559.06,1268.77
3.518150,560.72,1278.44
3.543100,562.38,1289.18
3.568050,563.24,1300.12
3.593000,565.02,1310.79
3.617950,566.08,1321.51
3.642900,567.51,1332.59
3.667850,568.85,1343.38
3.692800,570.80,1354.19
3.717750,571.76,1364.69
3.742700,572.82,1376.11
3.767650,574.80,1386.84
3.792600,575.61,1397.40
3.817550,578.23,1408.83
3.842500,579.62,1419.71
3.867450,581.49,1431.08
3.892400,582.79,1442.16
3.917350,584.30,1453.45
3.942300,585.79,1464.14
3.967250,587.52,1475.97
3.992200,589.02,1487.28
4.017150,590.52,1498.81
4.042100,592.36,1510.02
4.067050,593.76,1521.32
4.092000,594.62,1532.50
4.116950,597.22,1544.18
4.141900,599.14,1554.76
4.166850,600.35,1566.72
4.191800,601.86,1579.15
4.216750,603.68,1590.12
4.241700,604.77,1601.35
4.266650,607.27,1613.78
4.291600,608.79,1625.73
4.316550,610.98,1637.91
4.341500,612.25,1649.37
4.366450,614.12,1662.00
4.391400,616.09,1673.83
4.416350,618.06,1685.75
4.441300,619.56,1698.36
4.466250,621.65,1709.92
4.491200,623.03,1722.37
4.516150,625.47,1734.95
4.541100,626.79,1748.37
4.566050,628.71,1759.69
4.591000,631.89,1773.35
4.615950,632.57,1784.51
4.640900,634.45,1797.83
4.665850,637.33,1811.82
4.690800,639.36,1823.86
4.715750,642.08,1837.22
4.740700,643.81,1849.14
4.765650,646.35,1862.51
