f,r,x
0.100000,10000.00,-7311.03
0.124950,10000.00,-9826.86
0.149900,10000.00,-10000.00
0.174850,10000.00,-10000.00
0.199800,10000.00,-10000.00
0.224750,10000.00,-10000.00
0.249700,10000.00,-10000.00
0.274650,10000.00,-10000.00
0.299600,10000.00,-10000.00
0.324550,10000.00,-10000.00
0.349500,10000.00,-10000.00
0.374450,10000.00,-10000.00
0.399400,10000.00,-10000.00
0.424350,10000.00,-10000.00
0.449300,10000.00,-10000.00
0.474250,10000.00,-10000.00
0.499200,10000.00,-10000.00
0.524150,10000.00,-10000.00
0.549100,10000.00,-10000.00
0.574050,10000.00,-10000.00
0.599000,10000.00,-10000.00
0.623950,10000.00,-10000.00
0.648900,10000.00,-10000.00
0.673850,10000.00,-10000.00
0.698800,10000.00,-10000.00
0.723750,10000.00,-10000.00
0.748700,10000.00,-10000.00
0.773650,10000.00,-10000.00
0.798600,10000.00,-10000.00
0.823550,10000.00,-10000.00
0.848500,10000.00,-10000.00
0.873450,10000.00,-10000.00
0.898400,10000.00,-10000.00
0.923350,10000.00,-10000.00
0.948300,10000.00,-10000.00
0.973250,10000.00,-10000.00
0.998200,10000.00,-10000.00
1.023150,10000.00,-10000.00
1.048100,10000.00,-10000.00
1.073050,9735.57,-10000.00
1.098000,9392.26,-10000.00
1.122950,9042.22,-10000.00
1.147900,8751.52,-10000.00
1.172850,8508.53,-10000.00
1.197800,8132.68,-10000.00
1.222750,7922.13,-10000.00
1.247700,7623.42,-10000.00
1.272650,7358.25,-10000.00
1.297600,7048.49,-10000.00
1.322550,6901.60,-10000.00
1.347500,6716.91,-10000.00
1.372450,6549.07,-10000.00
1.397400,6300.14,-10000.00
1.422350,6054.93,-10000.00
1.447300,5859.81,-10000.00
1.472250,5656.31,-10000.00
1.497200,5508.39,-10000.00
1.522150,5365.84,-10000.00
1.547100,5211.42,-10000.00
1.572050,5137.61,-10000.00
1.597000,4928.37,-10000.00
1.621950,4848.81,-10000.00
1.646900,4654.66,-10000.00
1.671850,4546.58,-10000.00
1.696800,4418.78,-10000.00
1.721750,4306.54,-10000.00
1.746700,4211.08,-10000.00
1.771650,4065.30,-10000.00
1.796600,3965.11,-10000.00
1.821550,3851.85,-10000.00
1.846500,3784.49,-10000.00
1.871450,3666.53,-10000.00
1.896400,3570.48,-10000.00
1.921350,3508.23,-10000.00
1.946300,3422.28,-10000.00
1.971250,3345.78,-10000.00
1.996200,3272.62,-10000.00
2.021150,3198.05,-10000.00
2.046100,3111.75,-10000.00
2.071050,3059.76,-10000.00
2.096000,2992.05,-10000.00
2.120950,2905.03,-10000.00
2.145900,2838.65,-10000.00
2.170850,2785.12,-10000.00
2.195800,2717.68,-10000.00
2.220750,2665.52,-10000.00
2.245700,2601.08,-10000.00
2.270650,2555.02,-10000.00
2.295600,2492.01,-10000.00
2.320550,2460.61,-10000.00
2.345500,2388.31,-10000.00
2.370450,2342.93,-10000.00
2.395400,2307.43,-10000.00
2.420350,2249.12,-10000.00
2.445300,2207.47,-10000.00
2.470250,2169.17,-10000.00
