f,r,x
0.100000,7.91,35.33
0.124950,8.22,43.74
0.149900,8.37,52.17
0.174850,8.46,60.62
0.199800,8.54,69.08
0.224750,8.63,77.62
0.249700,8.66,86.11
0.274650,8.74,94.60
0.299600,8.77,103.11
0.324550,8.80,111.59
0.349500,8.81,120.04
0.374450,8.87,128.47
0.399400,8.92,136.94
0.424350,8.92,145.40
0.449300,8.96,153.87
0.474250,9.00,162.33
0.499200,9.01,170.78
0.524150,9.04,179.27
0.549100,9.07,187.79
0.574050,9.04,196.26
0.599000,9.09,204.75
0.623950,9.12,213.25
0.648900,9.11,221.84
0.673850,9.13,230.31
0.698800,9.12,238.74
0.723750,9.18,247.35
0.748700,9.21,255.89
0.773650,9.18,264.38
0.798600,9.08,272.83
0.823550,9.13,281.44
0.848500,9.16,289.99
0.873450,9.10,298.57
0.898400,9.01,307.12
0.923350,9.01,315.75
0.948300,9.05,324.41
0.973250,9.05,332.95
0.998200,9.03,341.52
1.023150,8.92,350.15
1.048100,8.93,358.77
1.073050,8.86,367.48
1.098000,8.82,376.03
1.122950,8.77,384.67
1.147900,8.75,393.27
1.172850,8.70,401.92
1.197800,8.69,410.72
1.222750,8.70,419.38
1.247700,8.65,427.92
1.272650,8.80,436.75
1.297600,8.95,445.60
1.322550,9.08,454.22
1.347500,9.26,462.88
1.372450,9.40,471.67
1.397400,9.55,480.50
1.422350,9.71,489.21
1.447300,9.88,497.88
1.472250,10.06,506.71
1.497200,10.25,515.58
1.522150,10.42,524.44
1.547100,10.59,533.38
1.572050,10.77,542.21
1.597000,10.98,551.15
1.621950,11.17,560.11
1.646900,11.35,568.48
1.671850,11.54,577.40
1.696800,11.73,586.38
1.721750,11.94,595.41
1.746700,12.16,604.42
1.771650,12.38,613.39
1.796600,12.57,622.53
1.821550,12.78,631.38
1.846500,13.01,640.33
1.871450,13.25,649.30
1.896400,13.47,658.50
1.921350,13.68,667.28
1.946300,13.93,676.44
1.971250,14.18,685.22
1.996200,14.42,694.49
2.021150,14.67,703.56
2.046100,14.93,712.80
2.071050,15.17,721.86
2.096000,15.44,731.09
2.120950,15.70,740.28
2.145900,15.97,749.56
2.170850,16.25,758.68
2.195800,16.54,767.88
2.220750,16.83,777.09
2.245700,17.13,786.52
2.270650,17.44,795.75
2.295600,17.74,805.10
2.320550,18.06,814.55
2.345500,18.37,823.78
2.370450,18.69,833.28
2.395400,19.01,842.48
2.420350,19.34,852.12
2.445300,19.67,861.43
2.470250,20.01,870.90
2.495200,20.35,880.47
2.520150,20.70,890.24
2.545100,21.05,899.72
2.570050,21.41,909.26
2.595000,21.76,918.73
2.619950,22.13,928.61
2.644900,22.49,938.15
2.669850,22.86,947.64
2.694800,23.24,957.38
2.719750,23.63,967.21
2.744700,24.03,977.18
2.769650,24.40,986.58
2.794600,24.80,996.48
2.819550,25.21,1006.36
2.844500,25.62,1016.32
2.869450,26.02,1025.92
2.894400,26.45,1036.32
2.919350,26.87,1046.06
2.944300,27.30,1056.08
2.969250,27.73,1066.15
2.994200,28.16,1076.02
3.019150,28.62,1086.14
3.044100,29.06,1096.23
3.069050,29.52,1106.28
3.094000,29.98,1116.35
3.118950,30.44,1126.58
3.143900,30.93,1136.99
3.168850,31.42,1147.36
3.193800,31.88,1157.30
3.218750,32.38,1167.73
3.243700,32.87,1177.92
3.268650,33.37,1188.27
3.293600,33.88,1198.70
3.318550,34.39,1208.99
3.343500,34.89,1219.03
3.368450,35.43,1229.91
3.393400,35.95,1240.16
3.418350,36.50,1250.98
3.443300,37.05,1261.59
3.468250,37.59,1272.01
3.493200,38.15,1282.73
3.518150,38.72,1293.47
3.543100,39.29,1304.22
3.568050,39.90,1315.37
3.593000,40.46,1325.69
3.617950,41.07,1336.94
3.642900,41.69,1348.02
3.667850,42.28,1358.71
3.692800,42.89,1369.70
3.717750,43.51,1380.66
3.742700,44.17,1392.02
3.767650,44.79,1402.92
3.792600,45.44,1414.13
3.817550,46.13,1425.92
3.842500,46.78,1436.94
3.867450,47.44,1448.15
3.892400,48.10,1459.07
3.917350,48.79,1470.69
3.942300,49.48,1481.97
3.967250,50.22,1494.04
3.992200,50.93,1505.48
4.017150,51.62,1516.76
4.042100,52.29,1527.53
4.067050,53.06,1539.73
4.092000,53.82,1551.74
4.116950,54.52,1562.91
4.141900,55.26,1574.40
4.166850,56.03,1586.31
4.191800,56.77,1597.69
4.216750,57.58,1609.95
4.241700,58.35,1621.68
4.266650,59.19,1634.32
4.291600,59.95,1645.79
4.316550,60.74,1657.46
4.341500,61.60,1670.12
4.366450,62.39,1681.64
4.391400,63.29,1694.62
4.416350,64.12,1706.59
4.441300,65.01,1719.25
4.466250,65.88,1731.80
4.491200,66.77,1744.27
4.516150,67.65,1756.49
4.541100,68.60,1769.60
4.566050,69.47,1781.62
4.591000,70.42,1794.51
4.615950,71.34,1807.05
4.640900,72.33,1820.46
4.665850,73.27,1832.98
4.690800,74.26,1846.22
4.715750,75.29,1859.71
4.740700,76.27,1872.56
4.765650,77.30,1886.01
4.790600,78.35,1899.49
4.815550,79.37,1912.64
4.840500,80.48,1926.64
4.865450,81.47,1939.30
4.890400,82.54,1952.66
4.915350,83.65,1966.60
4.940300,84.73,1979.92
4.965250,85.93,1994.65
4.990200,87.00,2007.76
5.015150,88.18,2021.95
5.040100,89.43,2037.05
5.065050,90.49,2049.82
5.090000,91.70,2064.16
5.114950,92.85,2077.69
5.139900,94.00,2091.23
5.164850,95.33,2106.67
5.189800,96.55,2120.86
5.214750,97.74,2134.52
5.239700,98.98,2148.71
5.264650,100.38,2164.52
5.289600,101.65,2178.89
5.314550,102.90,2192.86
5.339500,104.33,2208.67
5.364450,105.64,2223.18
5.389400,107.01,2238.12
5.414350,108.36,2252.87
5.439300,109.85,2268.99
5.464250,111.22,2283.80
5.489200,112.70,2299.43
5.514150,114.15,2314.90
5.539100,115.68,2330.97
5.564050,117.14,2346.14
5.589000,118.65,2361.74
5.613950,120.16,2377.29
5.638900,121.84,2394.60
5.663850,123.44,2410.80
5.688800,124.94,2426.03
5.713750,126.56,2442.27
5.738700,128.28,2459.42
5.763650,129.86,2474.94
5.788600,131.77,2493.82
5.813550,133.29,2508.57
5.838500,135.01,2525.35
5.863450,136.92,2543.70
5.888400,138.64,2560.18
5.913350,140.38,2576.66
5.938300,142.15,2593.37
5.963250,144.14,2612.06
5.988200,146.02,2629.54
6.013150,147.82,2646.14
6.038100,149.80,2664.37
6.063050,151.72,2681.83
6.088000,153.67,2699.57
6.112950,155.79,2718.64
6.137900,157.71,2735.78
6.162850,159.75,2753.90
6.187800,161.83,2772.19
6.212750,163.88,2790.17
6.237700,165.92,2807.95
6.262650,168.49,2830.06
